Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
University of Windsor,3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8,66,55.2,84.1,85.3,51.5,68.9,49.8,79.9,43.4,42.1,83.3,2
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),30.6,19.9,79,2.2,26.3,4.1,8.6,15.1,35.5,59.1,79.2,37.9,59.6,12.1,27.6,44.9,48.1,74.6,48.2,2
University of Iceland,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,58.6,40.6,25.3,39.7,60.4,79.4,58.3,73,1.9,46.3,75.3,2
Northwestern Polytechnical University,5.8,3.2,44.8,63.8,16.7,5.2,53.4,6.6,50.5,34.9,23.4,25.3,64.3,50.4,63.9,62.2,4.8,35.7,67.3,2
Al Ain University,22.6,15.7,13.4,5.9,100,100,27.5,5.9,51.4,32.9,84,65.4,60.8,44.3,37.5,45.1,50.9,18.5,30.3,2
University of Tabriz,5.9,5,3.4,81.7,1.5,6.8,71.8,5.3,34.3,33.1,16.2,17,61.7,15.9,37.2,51.1,4.1,32.9,65.4,2
Hasselt University ,5.8,3.3,82.1,15.4,74.2,25.3,69.6,2.4,72,45.3,61.8,83.5,68,73.5,56.3,84.3,27.4,23.7,92.3,2
Jordan University of Science & Technology,21,30.7,18.8,5.6,38.2,67.7,55.5,4.3,63.5,46,87.5,72.5,74.1,52.1,55.1,55.7,49.7,30.2,59.9,2
University of Dhaka,23,45.6,11.2,2.9,1.6,1,52,93.7,59.3,50.7,26.1,38.1,77,57.6,72.7,50.1,35.2,59.7,54.3,2
Universiti Utara Malaysia (UUM),22,25.4,38.8,8.2,19.4,79.3,34.1,12.3,54.9,32.2,71.6,57.3,70.5,45.6,51.7,40.4,32.3,28.3,36.2,2
University Ulm,7.4,5.5,78.5,31.2,39.6,21,61.1,2.9,56.3,26.3,27,53.1,42,71.9,60.9,63.4,8.7,10.1,67,2
Ulster University,8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8,77.3,61.6,74.5,93.4,65.2,70.6,66.4,94.8,41.7,57.3,86.6,2
Peter the Great St. Petersburg Polytechnic University,16,10.9,74.3,2.9,14.1,84,64.7,4.9,51.9,46.7,72.7,53,64.4,51.1,42.3,49.9,32.5,60.3,42.3,2
Umm Al-Qura University ,20.7,12.8,54.7,2.2,100,16,59.7,6.7,39.9,41.2,61.7,13.5,59.2,47,40.8,62.6,22,54.4,44.9,2
Université Claude Bernard Lyon 1,18.1,3.7,7.9,48.3,7.4,12,93.7,12.4,65.8,43.7,22.8,54.7,67.6,70.8,67.1,76.3,5.2,52,75.4,2
Universiti Teknologi Brunei,15.4,6.3,88.5,9.9,100,5.8,15.9,14.7,32.7,32.2,59.8,43.9,43.9,13.4,25.3,37.8,42.1,18.5,37.6,2
Eötvös Loránd University,23.3,22.6,10.7,6.1,5.2,11,71.3,60.9,69.7,65,91.5,84.5,71.9,50.9,60.8,73.6,41,80.5,68.1,2
University of Connecticut,14.4,8.1,18.2,29.8,27.4,19.4,88,23.3,76.6,53.9,37.5,73.3,80.5,75.5,76.8,74.8,38.2,45.5,80.9,2
Nanjing University of Science and Technology,5.7,2.5,8.9,89.3,0,0,38.7,3.7,45.9,39.4,20.2,25.3,54.5,42.7,60.3,57.5,4.8,50.2,63.8,2
Chiang Mai University,34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1,69.7,67.2,66.4,67.8,86.9,57,64.5,68.4,58.2,68,73,2
Lebanese University,29,34.4,10.1,2.2,43.8,29.5,43.7,29.9,49.8,48.5,28.3,40.5,73.6,39.5,51.4,37,24.1,53.5,67.8,2
University of Szeged,18.5,16.8,37,4.8,11.8,41.2,73.1,15,71.5,63.8,90,81,76,66.1,58.7,73,63.7,51.9,75.8,2
University of the Punjab,15.6,52.2,4.5,11.6,3.2,1.3,62.2,81.4,59.3,34.2,27.6,47,75.2,51.2,72.1,43.3,13.8,47.4,38.3,2
"University of Chemistry and Technology, Prague",5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2,42.4,39.4,66.4,52.6,43.4,27.6,33.4,66.8,16.7,36,68.1,2
Florida State University,25.6,18.1,7.2,24.8,10,4.2,71.9,18.4,73.4,51.2,30.4,70.5,60.2,78.7,84.2,71,12,63.2,78.7,2
Florida International University,15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6,85.2,65.2,91.2,93.3,88.4,72.4,75.9,92.8,42.6,60.5,94.2,2
University of Debrecen,17.9,13.9,34,3.9,10.6,70,76.7,21.4,65.5,58.4,73.8,75.3,68.3,58.3,52.7,75.9,46.9,57.8,69.9,2
Southern Cross University ,4.4,2.8,2.9,46.3,81.1,44.8,44.2,4.8,69,57.5,87.5,82.6,57,80,48.3,90.9,35.1,52.5,87.1,2
Sogang University,17.5,45.5,56.7,5.1,7.1,19.6,13.8,16,59.3,43.9,88.1,57,57.8,45.6,74.1,56.7,42,34.3,56.8,2
National Research Tomsk Polytechnic University,8.9,8.4,95.1,3.7,10.9,82.8,62.7,2,42.4,48.5,74.8,49,53.9,25.9,36.4,48.9,23.1,67,50.7,2
Universidad Adolfo Ibáñez,20.6,57,4.7,4.6,36.9,3.9,31.5,53.3,49.6,26.3,51.6,49.7,32.6,56,62.5,50.7,14.1,15.7,53.2,2
Jawaharlal Nehru University,31,14.4,10,28.9,0,1.3,47.4,14.7,54.7,58,54.8,48.9,74.7,47.3,41.9,70,27.1,68.5,77,2
Université Paul Sabatier Toulouse III,17.7,3.4,38.5,28,5.1,21.5,98.5,6,62.1,46.2,23.9,49,68.2,67.4,61.5,76.3,5.2,53.3,81.3,2
Jinan University (China),5.2,2.7,8.9,52.7,34,83.1,52.8,6.5,57.9,32,23.1,48.9,65.2,59.8,56.9,65,9.1,18.2,74.8,2
Politecnico di Bari,6.9,4.8,11.3,76.5,4.6,7.2,46.6,3.5,43.8,27.4,19.4,42.7,30.5,57.6,50.4,48.1,13,13.9,60.3,2
Management and Science University,15.1,18.1,40.2,1.8,97.3,99.4,12.1,4.2,39.9,25.4,35.5,59,35.8,31.7,35.4,31.8,50.2,18.5,5.2,2
Singapore Management University,12.3,14.2,10.2,18.8,100,58.9,20.8,27.1,65.5,52.5,57.3,84.8,41.2,67.3,71.1,53.5,91.6,18.5,50.1,2
Institut Teknologi Sepuluh Nopember (ITS Surabaya),17.3,48.9,47.8,1.6,47.5,5.3,12,13,47,54.6,86.6,49.5,61.5,29.8,49.9,36.4,44.6,81.7,28,2
University of Kwazulu-Natal,12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2,70.9,54.1,64.6,70.6,87.6,69,54.7,74.8,19.7,72.1,66.9,2
The University of Georgia,20.6,18.6,9.8,24.4,6.7,4.5,83.7,21.5,76.4,49.8,36,73,78.7,75.4,77,73.6,15.9,54.3,80.9,2
Shoolini University of Biotechnology and Management Sciences,10,14.9,8.1,55.9,33.3,1.7,44.8,2,49.8,54.8,75.1,57.2,80.1,14.9,32.6,63.8,59.9,39.1,67,2
Universiti Teknologi MARA - UiTM,30.8,40.4,17.6,2.8,1.7,2.1,68.6,3.6,59.5,46.2,63.5,53.2,86.1,42.4,60.2,46.1,39.2,58.9,35,2
Nottingham Trent University,10.6,15.1,10.6,5.1,57.1,74,84.6,12,78.5,59.3,86.1,95.5,60.9,73.2,69.7,94.4,62.8,33.3,85.9,2
Universität Bremen,18.5,7.7,13.1,24.4,46.9,26.4,89.1,1.8,67.8,50.7,29.5,59.7,69.3,75.7,67.1,73.8,16.6,58.5,78,2
Ain Shams University ,24,32.2,11.3,1.9,23.1,7.5,74.2,56.3,57.2,46.9,39.1,63.2,68.6,36,55.5,56.5,42.9,48.3,47.6,2
ITMO University,10.5,13,95.5,5.4,20.3,36.2,65.3,1.9,35,28.1,45.1,34.9,44.1,23.9,40,31.6,9.5,39.2,34,2
Thammasat University,24.6,19.4,26.6,2.1,9.1,1.7,41,84.6,66,57.1,59.3,76.1,77.7,57,56.6,51.7,55.3,63.9,46.8,2
Universitas Padjadjaran,19,41.6,41.4,1.4,34.8,2.2,19.6,33.4,55.4,51.2,89.2,63.9,77.8,39.6,45,35.8,56.1,58.7,33,2
University of Iowa,18.4,8.7,41.7,19.1,15.5,3.7,75.6,26.6,73.2,46,30.4,71.5,68.7,72.1,78.5,74,10.4,56.1,71.6,2
University of Texas Dallas,13.1,15.9,3.4,43.3,9.7,47.4,60.4,4.9,62.5,43,29.7,62.5,43.1,67.1,75.4,67.8,18,49.8,60.9,2
University of Ljubljana,19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6,59.1,36.7,28.1,45.1,55.7,77.9,61.5,67.8,10.3,32.9,71.1,2
Manchester Metropolitan University (MMU),11.8,12.6,8.1,10.1,42.9,37.7,91.7,12.3,85.7,63.4,90.3,97.6,91.7,73.4,67.5,95.4,56,44.5,93.1,2
Ca' Foscari University of Venice ,19.6,15.8,5.7,12.7,42,8.9,64.6,12.3,77.1,68.8,84.1,87.2,79.6,69.8,58.8,91.8,57.7,58.3,91.3,2
University of South Carolina,13.8,9.4,9.7,28.3,30.4,3.2,71.9,17.3,81,57.1,80.6,88.6,77.4,68.9,76.6,94.2,25.8,53.9,93.5,2
Paris Lodron University of Salzburg,9.7,2.9,20.8,6.8,96.1,93.7,55.5,15.7,66.5,58.6,68.6,86.9,47.6,72.6,48.6,86.5,45.2,63.9,63.6,2
University of Hohenheim,8.6,6.1,12,47.5,25.2,25.9,76.9,5,66.2,52.8,23.9,65.7,67.3,66.1,61.6,75.2,24,56.4,78.4,2
"Kingston University, London",17.9,15.3,5.8,7.6,70.8,99.2,48.2,12.6,62.3,39,26.5,66.5,45.9,74.7,64.2,63.8,16.8,38.5,63.9,2
Rensselaer Polytechnic Institute,8,8.4,19.7,56.6,3.7,29.9,25,31.4,48.6,39.9,21.3,43.9,30.2,55.7,64.2,57.9,11.9,42.2,67.3,2
King Khalid University,16.6,8.3,49.8,2.7,100,18,78.3,2.2,43.1,36,48.2,37,62.5,33.7,42.3,40.8,15.8,39,53.9,2
University of Crete,13.9,12.7,2.4,58.7,2.3,3.5,57,3.6,53,26.8,25,52.6,39.8,65.3,54.3,63.4,3.7,16.8,64.3,2
Illinois Institute of Technology,12.8,11,14.1,35.9,19.2,97.3,18.9,12.2,46.3,31.5,19.7,50.1,23.8,45.9,65.5,47.9,9.2,30.8,57.2,2
National Chengchi University,20.1,37.8,17.1,2.2,26.5,21.8,13.3,91.1,51,13,82.2,56,41.3,64,57,31.6,26.1,1,13,2
Universität des Saarlandes,10.2,5,92.2,7,4.6,35.9,71.4,29,54.2,15.5,21.2,41.9,55,76.7,53.1,58.8,8.7,10.7,29.6,2
University of Minho,15.6,7.1,26.5,21,15.9,14.9,83.7,8.6,70.6,59.1,85.8,71.4,67.4,87,57,79.1,28.7,62.7,86.1,2
Christian-Albrechts-University zu Kiel,17.7,10.8,44.7,15.6,0,8.4,90,14.3,71.3,50.7,28.2,61.1,69.9,82.8,73.2,76.3,12.2,60.7,80,2
Taipei Medical University (TMU),10.6,12.5,90.4,18.9,16,13.7,22.9,8.1,63.2,31.1,71.4,83.4,52.8,58.3,52.1,67.8,43.1,16.8,33.7,2
Pontifícia Universidade Católica do Rio de Janeiro,32.4,16.2,10.8,7.5,12.6,1.6,44.5,68,52.4,45.5,24.7,40,63.7,42.4,60.5,58.8,20.1,57.5,56.9,2
American University of the Middle East,23.1,21.6,19.7,3.7,100,23,35.1,5.1,51.7,32.2,57,70,63.6,30.4,42.1,39,51.3,9.7,38.8,2
Brno University of Technology,13,29.3,25.7,7.3,14.8,67.3,78.8,12.7,50,39.2,29.6,31.4,55.6,42.8,69.8,53.7,15.2,43.8,59.2,2
Eastern Mediterranean University,5.6,2.1,3.5,26.5,90.1,100,55.2,24.1,48.4,32,21.2,62,43,46.2,39.9,56.1,8.8,23.7,68.2,2
Asia Pacific University of Technology and Innovation (APU),9.3,12.5,62.2,1.6,92,100,6.8,4,37.5,31.3,60.7,58.7,44.5,17.5,28,31.4,52.5,18.5,22.5,2
University of Klagenfurt,5.7,3.7,51.3,11.3,96,87.8,35.6,9.2,53.5,24.3,19.3,58.4,42.4,73.9,49.7,48.3,11,6.4,61.2,2
Charles Darwin University ,5.7,4.2,4.5,44.2,25.4,55.2,41.3,3.9,74.3,67,68.8,87.7,66.5,77.7,56.9,88.9,41.5,71.7,87,2
Universidad de Alcalá,9.7,5.8,60,5.6,10.6,44.9,77.1,7.7,71.1,62.5,89.2,83.2,67.1,79.2,47.4,89.7,46.4,53.9,88.1,2
University of South Florida,12.9,9.5,8.8,36.3,19.9,22.2,86.7,6.1,72,42.1,31.1,67.8,69.3,69.5,79.2,74,4,45.6,79,2
University of Tromsø The Arctic University of Norway,11,4.3,68.3,8.9,69.3,7,78.4,5.6,63,44.4,28,61,59.7,78.1,55.3,70.4,6.3,51.5,76.9,2
Renmin (People's) University of China,19.5,37.3,16.3,7.9,6.6,4.9,24.3,81.2,62.8,43.3,27.7,45.3,70.1,63.2,75.9,63.4,13.1,45.9,72.6,2
Abo Akademi University,7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3,63.7,36.5,26,71,43.7,94.5,56.4,60.8,14.9,30.6,68,2
Zayed University,17.6,18.4,24.3,8.6,100,1.9,50.8,20.9,54.7,34.2,22.5,57.3,48,46,61,63.8,17,36,49.9,2
Auezov South Kazakhstan University (SKU),18.5,28.7,89.5,1,12.9,16.2,4,3.2,38.5,35.6,80.5,55.2,35.8,31,34.2,32.2,38.5,45.3,17.6,2
Istanbul University,28.1,25.3,2.8,3.5,5.3,9.9,68.8,72.8,52.4,25.6,25.5,49,69.4,58.2,46,35.2,14.7,20.9,43.3,2
Tallinn University of Technology (TalTech),12.8,10.2,31.5,10.8,60,18.3,83.3,45.6,39.9,32.9,13.8,31.5,48,30.8,50.4,42.9,6.3,43.4,48.2,2
Universidad de Concepción,26.2,22.4,14.8,6.7,10.6,1.7,61.1,12.5,63.7,65.9,66.6,63.3,69,55.6,57,79.9,50.6,73.3,70.3,2
Inha University,12.2,14.3,77.2,10.9,9.7,13.7,23.9,13.1,70.6,51.4,88.7,76.1,57.4,64.5,76.5,80.7,41.7,37,78.4,2
Ajou University ,13.7,15,68.9,17.9,9.3,24.2,18.8,4.2,60,48.7,88.8,64.9,46.5,48.8,65.5,79.3,42.8,32.9,73.6,2
University of Portsmouth,8.1,7.3,8.6,15.1,74,85.3,75.4,8.9,69.5,46.2,46.2,79.7,58.2,71.5,64.8,74,26.9,40.7,73.6,2
Chang Gung University,6.3,4.3,71.6,41.9,5.1,4.5,27.7,2,58.8,39.4,86.8,71.4,46.4,57.3,51.5,74.2,48.2,29.3,41.1,2
Tulane University,9.8,6,84.7,9.7,9.9,10.8,75.4,26,66.2,36.3,30.7,59.3,70,67.1,67.3,72.2,9,37.4,64.2,2
Boston College,21.3,16.2,21.2,16.6,12.5,18.8,50.8,42.2,62.5,38.7,29,62.2,48.5,72.4,69.1,62.4,12.1,41.1,64.7,2
Savitribai Phule Pune University,8.9,18.3,48.8,35.3,1.4,2.5,44.2,14.4,41.5,39.2,21.8,38.6,62.7,23.3,44.6,33.8,26.5,50,37.5,2
China University of Petroleum,3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1,37.3,39,18.7,21.8,54.9,11,52.5,52.1,4.8,44.8,69.3,2
Ritsumeikan University,16.6,55.7,7.8,3.1,28.4,9.6,30.9,3.9,65.1,56.8,82.7,61.6,56.2,49.1,78.6,86.1,52.8,51.1,66.3,2
Hacettepe University ,22.5,29.4,10.8,7.1,4,3.5,72.1,22.2,66.9,55.2,67.6,65,90.3,60.5,57.1,55.7,41.7,59.4,62,2
Lehigh University,5.2,4.8,24.3,32.5,47.1,27.8,44.5,29,63.5,56.6,70.9,82.6,36.8,63.2,58.7,81.3,48.4,57.2,62.6,2
National Central University,21.5,28.2,22.9,14.4,11.6,10,30.4,10.2,54.7,60.7,74.7,46.2,49.1,61.6,64.5,59,45.5,68.1,65.7,2
Oregon State University,14.6,4.2,15.6,33.9,11.7,8.1,81.2,19.3,70.2,48.9,30.8,67.3,72.1,69.2,70,74.6,4,61,82.3,2
"University of Missouri, Columbia",14.3,8,37.8,16.5,46.7,3.3,66.5,30.5,69,40.8,28.7,62,65.9,72.6,74.3,73.8,4,46.9,72.7,2
Universiti Tenaga Nasional (UNITEN),8,11.6,62.2,17.3,18,65,32.9,4.4,49.8,50,53.4,40.7,80.9,30.8,47.1,46.3,38.5,52,58.6,2
University of the Basque Country,19.5,7.3,32.8,19,2.4,3.5,90.8,22.8,68.1,32.2,34.7,64.2,69.4,78.6,63.1,71.6,6.9,18.4,78.4,2
De La Salle University,22.6,52.4,10,4.5,1.9,2.5,22.2,47.4,47,40.1,25.9,34.5,63.1,44.9,60.4,28.8,23.7,47.8,47.2,2
East China University of Science and Technology,6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5,51,35.6,21.1,47.2,56,34.1,58.6,62,4.8,37.1,67.8,2
Soochow University,6.6,2.6,15.9,63,6.2,2.5,47.4,16.8,54,27.9,22.2,42.9,63.3,53,58.6,59.6,11.6,10.6,68.3,2
Symbiosis International (Deemed University),5.4,95.6,19.7,1.8,16.1,3.6,16.7,5.2,41.5,31.5,62.6,47.5,48.1,29.9,41.7,38.2,42.2,24.6,27.3,2
Universidade de Santiago de Compostela,24.1,10.8,12.4,17,2.6,5.5,78,11.3,66.7,55.5,73.2,63.8,65.8,76.6,58.9,75.3,26.5,63.1,76.3,2
Palacký University Olomouc,15.2,13.9,29.9,8.5,32.7,17.8,87.3,6.8,67.6,49.1,86.4,65.4,77.7,55.6,59.1,87.9,42.6,32,77,2
University of Zagreb,16.3,7.3,23.8,4.1,1.7,3.3,91.6,96.9,71.1,44.4,73.5,68.9,81.9,76.7,56.1,75.2,6.9,64.9,59.5,2
University of Houston,12.7,11.4,5,24.6,23.9,19.8,71.6,50.3,73.2,44.4,33,72.5,72.4,71.1,75.5,72.4,15.8,47.3,71.5,2
HUFS - Hankuk (Korea) University of Foreign Studies ,11.5,21.3,81.2,1.6,32,47.9,12.6,1.7,60,33.1,74.4,71.2,51.7,73.4,54,47.7,27.3,27.5,45.1,2
Aberystwyth University,9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1,64.1,62.7,78.2,81.8,54.6,50.2,52.9,86.3,43.6,66.7,76.7,2
National Chung Hsing University,21.1,23,25.3,11.5,8.8,8.4,32.2,28.4,59.3,58.2,78.5,49.5,62.2,55.9,67.2,67.8,65.9,37.4,73.1,2
University of Plymouth,8.9,8.9,11.6,25.9,49.8,36.2,80.1,7.3,70.6,50.5,23.9,71.9,65,68.6,73.7,73.2,15.7,55.8,81,2
Memorial University of Newfoundland,7.2,5.9,10.1,28.6,23.9,78.4,74.1,12.1,69,46.4,29.4,77.2,63.6,69.2,64.6,68.8,13.7,49.3,77.6,2
University of Manitoba,13.6,15.9,29.6,12,0,43.2,73.1,32.8,70.9,43.3,31.9,60.3,71.2,81.3,73.8,73.4,8.4,47.8,75.7,2
City University of New York,19.9,35.6,8.9,4.7,6.1,4.4,93.1,22,68.8,41.7,30.9,48.1,74.4,72.8,81.9,72.8,4,45.1,78.5,2
"Sofia University ""St. Kliment Ohridski""",14.2,18,45.7,2,3,8.5,61,81.8,50.5,42.1,84.1,58.1,66.1,57.3,32.9,36.4,36.5,48,38.4,2
Comenius University Bratislava,12.8,8.5,56,3.5,3.8,22.9,60.2,79.8,51.7,34.7,72.1,52.6,62,52.7,36.1,66.2,11.2,49,41.8,2
Universidad de la República (Udelar),27.1,13.7,14.2,1.6,7.9,2.3,62.4,87.7,49.8,36.7,25.5,39.5,56.9,55.3,47.8,61,6.8,47.3,56.3,2
Free University of Bozen-Bolzano,5.8,1.5,12.8,42.6,72.3,37.4,49.3,3.4,51.4,30.6,21.5,49.3,43,68.3,48.1,61.4,5.2,26.1,64.8,2
Tokyo Medical and Dental University (TMDU),11.8,6.5,100,17.7,2.4,13.4,21.9,2,52.6,17.5,53.5,68.1,48.8,27.2,51,66.8,39.1,1,12.8,2
ISCTE - Instituto Universitario de Lisboa,6.9,5.9,2,47.8,18.7,49.6,49.7,27.2,53,22.2,24.6,64.2,35.3,79.9,45.7,46.1,9.1,9,53.7,2
International Islamic University Malaysia (IIUM),24.4,17,13.4,3.1,22.8,57.1,62.5,23,43.6,24.3,19.5,34.3,76.2,35.9,42.1,24.7,16.1,38,14.6,2
University of Haifa,13,5.9,14.6,32.1,13.4,3.6,67.2,22.9,73.4,50.5,67.6,72.2,64,90.7,61.6,93,20.8,50.9,81.4,2
Karl-Franzens-Universitaet Graz,19.9,10.9,11.7,10.7,45.4,26.1,63.9,31.9,65.1,45.5,25.5,65.2,57,80,61.2,69.6,15,50.8,71.5,2
Universidade Federal de Minas Gerais      ,32.4,8.9,13.8,7,8,1.5,64,39.7,57,43.7,27.4,62.7,71.7,33.9,50.4,64.6,12,53.1,66.2,2
Martin-Luther-Universität Halle-Wittenberg,13.1,6.4,80.1,7.4,0,8.8,90,4.8,65.5,34.5,24.6,53.1,70.9,63.8,69.8,76.1,16.6,13.2,81.4,2
Bar-Ilan University,7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9,59.3,31.5,39.1,59.1,40.3,80.6,58.9,71.2,1.5,37,57.9,2
Kazakh National Agrarian University KazNAU,19.9,16.4,85.2,1.1,19.6,22.6,6.5,3.3,36.6,38.3,80.8,43.2,54.2,26.6,25.6,33.6,45,43.6,21.6,2
Abai Kazakh National Pedagogical University,26.5,22.8,53.8,1.1,37.8,3.7,4.1,12.6,41.9,24.7,79.5,55.5,41.9,45.6,31.9,33.8,38.1,18.5,17.3,2
Temple University,12.3,7.1,29.2,16.9,3,5.7,77.2,23.2,79.6,58.6,76.5,90.6,72.8,74.7,69.5,92.8,38,51.8,88.6,2
Jeonbuk National University,15.6,11.1,61.3,10.6,7.8,6.8,35.3,2.8,57.7,69,88.1,39.4,69.7,47.8,65.1,77.3,56.8,66.8,82,2
University of New Brunswick,4.9,8.3,19.9,27.5,61,34.1,48.7,17.3,65.3,48.9,83.5,72,58.5,56.7,61.3,84.9,36.7,40.6,71.9,2
Indian Institute of Technology Hyderabad,6.2,4.4,18.2,71.1,1.2,1.5,13.7,2,36.4,48.2,69.1,38.5,56,18.2,29.4,43.5,38.8,51,52.7,2
Prince Sultan University,6.5,5.3,14.7,31.7,100,13.9,54.3,11,48.2,36,58.6,54.4,52,43.4,45.7,46.5,48.5,10,54.1,2
"Goldsmiths, University of London",13.1,5.1,12.8,12,92,91.5,25.1,14.4,57.4,25.4,55.1,86.1,27.2,72.1,46.5,58.8,39.8,13,23.7,2
Princess Nourah bint Abdulrahman University,16.6,14.8,18.9,2.5,94.5,38.4,64,2.3,47,36.3,51.5,42.9,55.5,37.2,45,63.2,37.2,30.2,41.9,2
China University of Mining and Technology,3.5,1.6,14.1,68.5,0,0,52.4,10.1,49.3,39.4,21.2,27.2,57,53.8,61.2,59.6,4.8,44.8,70.4,2
"University of Agriculture, Faisalabad ",6.3,11.6,1.6,61,2.5,1.1,66.7,2.4,42.9,36.7,21.1,31.2,61.3,21.4,49.7,57.3,11.9,39.5,60.2,2
University of Brescia,4.4,2.2,7.4,56.3,2.6,6.3,55.5,3.3,72.5,54.3,78.3,88.7,75.2,67.6,47.5,90.5,43.5,51.9,67.6,2
Universidade Federal do Rio Grande Do Sul ,28,5.3,12.8,10.1,2.2,1.6,80.1,25.9,67.8,53.2,60.8,74,88.8,39.2,55.9,77.7,33.3,62.5,61.9,2
Universidade Federal de São Paulo,10.5,5.1,95.6,6,4.7,1.5,54,2.9,64.8,52.1,76.3,76.9,72.8,46.2,50.7,77.7,29.2,67.5,55.2,2
University of Siena,13.6,3.5,9.7,40.4,2.9,10.8,61,9.3,61.6,59.3,50.4,58.2,67,66.9,48.6,82.7,36.6,56.5,85.9,2
Norwegian University of Life Sciences (UMB),5.8,4.3,100,8.5,0,0,74.7,18.6,62.3,44.2,28.7,58.4,73.2,59,53.4,75.9,6.3,46.7,83.1,2
Shiraz University,6.9,5.4,4.6,60.7,1.2,2.2,54.3,14.1,52.4,45.1,52.3,32.7,68.5,52.2,48.4,80.7,4.1,52.2,81,2
University of Greenwich,4.7,4.1,4.1,11.7,91.5,100,78.2,14.9,66.5,30.8,27.3,66.9,69.2,62.5,62.4,74.8,6.3,21.3,70.6,2
Universidad Panamericana (UP),9.9,20,75.4,1.2,17.4,2.5,20.1,68.7,46.6,28.8,55.4,47.3,55,51.7,38,45.9,42.8,18.5,25.4,2
Chandigarh University,14.1,51.3,24,1.4,37.6,15.3,37.4,1.9,42.9,24.1,66.4,50.4,55.7,17.9,44.2,38.4,35.8,19.7,15.7,2
University of Nebraska - Lincoln,10.6,5.8,16.9,30.4,21.5,7.1,73.1,7.2,72,53,48.2,77,67.9,69.3,70.1,73.4,30.8,52,77.7,2
Dongguk University ,7.9,10.5,83.6,9.7,9,23.8,36.5,4.8,66.7,42.6,73.6,67.6,57.3,68.6,66.7,81.5,31.5,22,80.7,2
Lebanese American University,13.5,20.3,29.1,3.7,73.3,19.6,36.5,19.9,71.1,38.5,67.8,79.3,77,66.9,64,59.4,47.2,18.5,52.7,2
University of Oklahoma,10.2,9.8,15.6,31.1,21.8,5.7,69.3,22.3,70.2,46,29.7,72,61.7,67.1,75,74,9.8,53.2,76.5,2
National Institute of Technology Tiruchirappalli,4.1,2.8,9.1,71,0,1.8,34.5,3,48.2,39,69.7,46.7,71,27.9,42.8,51.9,31.4,31.5,55.6,2
Taras Shevchenko National University of Kyiv,18.9,36.6,27,2.2,1.5,3.9,40.3,45.5,41.7,27.7,60.4,41.2,61.8,30.4,36.5,40.2,15.6,52.9,7.5,2
Beijing University of Chemical Technology,4.5,1.8,19,67.1,2.5,1.7,37.2,2.4,44.5,27,20.7,22.2,57.9,45.4,51.3,61.6,4.8,13.1,69.7,2
Stevens Institute of Technology,2.6,4,5.2,41.7,53.2,96.4,18,7.8,36.2,36,18.9,43.8,22.8,23.1,48.9,43.1,11.9,37,60.4,2
Czech University of Life Sciences in Prague,10.4,6.7,9.4,10.8,29,73.5,75.8,3.9,62.5,68.1,75,65.7,77.1,45.3,49.5,80.5,46.1,69.7,88.7,2
De Montfort University,5.3,4.8,5.6,8,74.2,97.5,62.8,6.4,75,46.7,89.8,90.3,70.3,68.6,60,87.3,40.3,29.1,75.5,2
COMSATS University Islamabad,11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1,66.2,46.7,28.6,57.9,79.6,61.4,69.1,60.2,21.7,49.2,69.3,2
Plekhanov Russian University of Economics,14,19.1,49.8,2.3,3,16.2,51.9,38.5,51,47.8,75.3,61.9,64.7,44.3,40.5,33.2,34.8,61.5,42.5,2
American University,16.2,29.3,32.9,4.3,8,19.4,30.6,40.5,59.3,36.5,26.1,47.4,50.5,73.1,70.3,64.4,4,43.1,63.8,2
"Lingnan University, Hong Kong",9.9,6.5,13.9,11,100,98.9,15.6,3.7,50.5,32.4,68.7,77,30.7,56.4,42.8,42,35.9,18.5,45.1,2
Ton Duc Thang University,5,6.4,5.2,51.7,9.9,1.4,90.7,4.7,58.1,34.9,24.3,47.5,71.7,53.3,59.5,63,16.3,23,70.6,2
Ahlia University,16.7,8.4,31.7,3.8,100,42.7,9.3,12.7,46.1,27.4,80.8,67.3,44.9,31.1,40.1,37,53.1,9.7,20.2,2
