Institution Name,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes,Social Impact,Environmental Impact,Governance,Equality,Knowledge Exchange,Impact of Education,Employability and Opportunities,Health and Wellbeing,Environmental Sustainability,Environmental Education,Environmental Research,Class
University of Bergen,31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9,75.3,53.9,30.5,67.2,75.2,91.3,72,76.7,15.2,65.5,80.4,3
Swinburne University of Technology,13.9,11.4,12.4,86.5,94.9,77.3,66.1,13.9,72.7,40.1,34.3,72.1,62.3,84.7,73.6,74,14.6,34.8,74.3,3
University of Tasmania,16,7.4,22.1,59.8,79.9,89.7,80,15.9,82,72.9,91.2,87.2,77.2,83.6,70.2,96.8,53.5,73.6,91.1,3
The University of Arizona,37.3,22.2,44.4,38.8,31.6,15.1,94.1,37.1,79.9,52.8,36.9,73.3,83.9,78.4,83.6,75.5,19.6,58.3,81.5,3
Xi’an Jiaotong University,19,39.4,14,89.5,3.9,3.8,80.5,26.4,67.8,50.5,23.4,52.9,68.9,62.5,87.2,65,25.6,53.7,72.8,3
Stellenbosch University,26.1,35.8,3.5,61.9,19.7,8,94.8,85.2,69.7,50,32.2,62,79.3,73.7,70.3,62,27.7,52.2,70,3
University of Virginia,37.3,27.3,55.8,29.1,6.1,11.3,81.6,77.9,76.9,53.7,30.9,69.9,71.9,75.5,87.8,75,27.7,53.7,80.4,3
Swansea University,23.1,43.1,25.1,27.9,71,59.6,82.3,8.3,90.5,71.3,98,93.2,89.3,77.4,90.1,97.4,53,71.9,87.4,3
Bauman Moscow State Technical University,36.2,51.9,99.9,1.4,65.6,70,15.2,7.7,44.5,47.3,68.7,52.3,50,26.6,50,33.6,43.7,64.6,26.2,3
Huazhong University of Science and Technology,20.4,28.2,7.9,99.9,5.2,2.7,79.4,17.6,67.2,47.1,25.4,51.1,71.6,62.1,85.5,64.4,14.5,53.9,73.3,3
Georgetown University,29.3,41.9,63,14,28,37.3,62.5,90.9,75.3,56.4,31.3,71.2,65.5,79.4,85.9,72.2,77.2,26.8,67.8,3
Université Paris Cité,27.8,6.2,9.2,87,12,35.2,99.2,15.2,69.9,47.1,28.6,62.1,72.2,76.3,68.9,76.9,13,48.4,82.4,3
Beijing Institute of Technology,23.2,24.3,43.4,82,5.7,6.7,68.6,14.3,63.9,44.2,22.4,48.7,70.3,61.4,77.2,64,4.8,53.4,75.7,3
Universidade Federal do Rio de Janeiro,61.9,23.3,13.7,7.8,7.6,1.5,79.7,81.4,75.7,58,90.2,84.8,96.4,43.4,64.1,80.7,25.6,62.4,87,3
Linköping University,18.5,26.6,37.9,45.4,81.9,32.6,84.6,42.4,75.9,59.1,29.1,74.1,65.3,85.7,80.2,76.3,35.3,60.6,81.5,3
Aalborg University,19.9,20.8,25.5,53.2,77.3,14.9,92.1,23.3,77.3,68.8,87,65.2,75.5,79.4,79.2,97,43,65.6,98.2,3
"University of California, Irvine",37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,75.5,53.9,37.7,73.6,67.5,73.7,83.2,75.3,24.5,56.2,81.9,3
Airlangga University,37.1,79.1,57,1.5,58,6.7,40.3,18.9,55.4,47.3,83.7,54.1,77.4,42,54.8,40,40,67.1,28,3
Goethe-University Frankfurt am Main,43.2,33.2,24.4,15.9,37.4,24.1,90.4,20.2,84.3,66.1,67,81.6,83.1,81.3,83.9,91.8,28.9,73.4,96.1,3
Universität Innsbruck,20.3,7.8,73.1,9.3,100,100,71.5,55.8,74.1,64.5,75.1,76.7,77.8,74.2,60.2,88.7,31.3,68.7,94,3
North Carolina State University,26.7,25.4,9.8,63.4,55,17,78.1,21.5,78.7,51.6,34.1,69.4,86.7,72.1,86.2,74.6,15.1,58,82.1,3
University of Johannesburg,17.7,17.9,40.3,24.9,96.5,51.4,98,63.1,72.9,65.4,88.6,77,86.7,67.9,54.2,79.3,48.8,67.5,78.2,3
Jagiellonian University,37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3,73.6,46.9,77.2,78.3,71.4,73.2,70.3,74.2,31,48.9,59.9,3
Universität Stuttgart,23.1,33,6.8,55.2,36,46.8,70.4,21.7,69,70.4,81.9,63.4,58.9,59.9,82.3,83.5,55,71.7,82.5,3
Quaid-i-Azam University,17.3,42.4,3.2,93.6,7,1.9,65,21,49.8,41.7,20.6,35.6,60.1,34,67,52.1,9.5,52.9,62.4,3
University of Notre Dame,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,82,62.9,69.6,73.6,89.1,72.4,83.4,92.2,43.1,59.7,87.1,3
